City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,san felipe,10.3399,-68.7425,294.48,97,100,1.9,VE,1675817683
84,nara,34.6851,135.8049,282.02,56,8,3.41,JP,1675818231
85,ponta delgada,37.7333,-25.6667,286.55,82,40,6.69,PT,1675818233
86,ochamchira,42.7121,41.4721,277.11,78,100,1.65,GE,1675818233
87,saldanha,-33.0117,17.9442,290.18,89,0,6.72,ZA,1675818234
88,huntington beach,33.6603,-117.9992,294.36,43,20,4.63,US,1675818235
89,khatanga,71.9667,102.5,228.96,100,65,1.11,RU,1675818186
90,tasiilaq,65.6145,-37.6368,256.24,35,0,16.15,GL,1675818235
91,mana,5.6592,-53.7767,297.45,88,71,4.24,GF,1675818235
92,tengzhou,35.0771,117.1518,280.52,66,100,3.13,CN,1675818236
93,ballitoville,-29.539,31.2144,295.23,88,75,7.2,ZA,1675818236
94,angoram,-4.0625,144.0661,299.77,83,100,1.74,PG,1675818236
95,padang,-0.9492,100.3543,294.18,66,90,1.45,ID,1675818237
96,isangel,-19.55,169.2667,303.21,79,100,1.03,VU,1675818237
97,rikitea,-23.1203,-134.9692,299.82,68,7,5.0,PF,1675818238
98,senges,-24.1128,-49.4636,292.77,92,95,1.77,BR,1675818238
99,oyama,36.3,139.8,284.03,69,100,2.82,JP,1675818177
100,victoria,22.2855,114.1577,291.62,87,97,4.02,HK,1675818021
101,hithadhoo,-0.6,73.0833,300.46,71,11,3.89,MV,1675818239
102,tokmak,47.2514,35.7058,267.87,65,100,8.93,UA,1675818239
103,avarua,-21.2078,-159.775,302.18,74,20,5.66,CK,1675818239
104,nouakchott,18.0858,-15.9785,293.11,31,100,5.93,MR,1675818025
105,nianzishan,47.5167,122.8833,259.22,75,5,2.02,CN,1675818240
106,kodiak,57.79,-152.4072,271.88,51,0,7.72,US,1675818240
107,gladstone,-23.85,151.25,302.47,54,100,5.66,AU,1675818021
108,high rock,26.6208,-78.2833,293.16,64,1,7.97,BS,1675818241
109,keti bandar,24.1447,67.4497,294.1,70,94,3.8,PK,1675818241
110,tilichiki,60.4667,166.1,243.98,90,73,4.56,RU,1675817893
111,butaritari,3.0707,172.7902,300.38,80,100,9.71,KI,1675818246
112,grand-santi,4.25,-54.3833,295.28,99,31,1.01,GF,1675818250
113,atuona,-9.8,-139.0333,299.22,76,19,6.78,PF,1675818179
114,sterling,39.0062,-77.4286,283.1,63,40,3.09,US,1675818012
115,valparaiso,-33.0393,-71.6273,289.95,88,0,1.03,CL,1675818266
116,bridlington,54.0831,-0.1919,279.2,89,18,4.29,GB,1675818269
117,port arthur,38.8,121.2667,271.27,45,0,4.48,CN,1675818275
118,morshansk,53.4435,41.8107,259.08,97,55,1.91,RU,1675818276
119,aklavik,68.2191,-135.0107,245.15,69,75,2.06,CA,1675818000
120,faya,18.3851,42.4509,285.21,67,6,1.52,SA,1675818245
121,yumen,40.2833,97.2,269.21,60,34,5.15,CN,1675818277
122,sangmelima,2.9333,11.9833,292.03,99,74,1.16,CM,1675818277
123,kamenka,51.3223,42.7678,258.85,95,7,3.93,RU,1675818278
124,albanel,48.8832,-72.4487,271.23,74,100,7.2,CA,1675818278
125,torbay,47.6666,-52.7314,269.58,85,75,11.32,CA,1675818117
126,airai,-8.9266,125.4092,293.84,78,78,1.32,TL,1675818278
127,bengkulu,-3.8004,102.2655,298.5,73,86,2.22,ID,1675818279
128,strezhevoy,60.7333,77.5889,247.19,99,69,2.81,RU,1675818279
129,tiarei,-17.5333,-149.3333,304.16,64,1,2.37,PF,1675818279
130,cherskiy,68.75,161.3,238.48,97,100,2.39,RU,1675818280
131,opuwo,-18.0607,13.84,291.6,56,100,1.92,NA,1675818280
132,juneau,58.3019,-134.4197,276.6,100,100,1.3,US,1675818048
133,kupang,-10.1667,123.5833,302.47,79,20,4.12,ID,1675818289
134,takoradi,4.8845,-1.7554,298.82,87,100,2.02,GH,1675818291
135,codrington,-38.2667,141.9667,292.14,58,75,6.82,AU,1675818291
136,mount gambier,-37.8333,140.7667,294.41,46,5,4.54,AU,1675818112
137,souillac,-20.5167,57.5167,299.36,83,75,5.14,MU,1675818292
138,mabaruma,8.2,-59.7833,295.26,98,21,1.29,GY,1675818292
139,kwinana,-32.25,115.7667,299.16,56,0,0.89,AU,1675818293
140,okmulgee,35.6234,-95.9605,278.66,93,100,3.09,US,1675818218
141,madras,13.0878,80.2785,296.14,88,20,1.03,IN,1675818056
142,fortuna,40.5982,-124.1573,287.0,72,75,0.0,US,1675818294
143,roald,62.5833,6.1333,281.11,57,75,9.26,NO,1675818294
144,carnarvon,-24.8667,113.6333,300.58,56,1,7.64,AU,1675818295
145,teya,60.3778,92.6267,260.5,97,100,1.32,RU,1675818295
146,severo-kurilsk,50.6789,156.125,269.05,54,12,4.38,RU,1675818117
147,hermanus,-34.4187,19.2345,293.04,82,0,5.35,ZA,1675818181
148,noumea,-22.2763,166.4572,305.14,99,95,4.46,NC,1675818296
149,ajdabiya,30.7554,20.2263,283.88,58,100,2.6,LY,1675818296
150,barranca,-10.75,-77.7667,296.32,76,41,2.48,PE,1675818297
151,floro,61.5996,5.0328,280.13,76,75,12.35,NO,1675818297
152,beringovskiy,63.05,179.3167,246.11,94,92,3.44,RU,1675818298
153,the valley,18.217,-63.0578,298.76,74,0,8.78,AI,1675818298
154,santa maria,-29.6842,-53.8069,296.76,69,20,1.54,BR,1675818167
155,rabak,13.1809,32.74,293.72,21,0,7.11,SD,1675818299
156,port-gentil,-0.7193,8.7815,300.1,80,76,3.88,GA,1675818057
157,tuktoyaktuk,69.4541,-133.0374,241.15,75,100,1.54,CA,1675818299
158,azul,-36.777,-59.8585,301.01,29,97,3.03,AR,1675818047
159,tessalit,20.1986,1.0114,295.27,15,66,3.33,ML,1675818300
160,dunedin,-45.8742,170.5036,288.19,53,55,7.24,NZ,1675817685
161,viedma,-40.8135,-62.9967,292.53,69,11,4.41,AR,1675818300
162,bathsheba,13.2167,-59.5167,297.49,88,75,8.75,BB,1675818301
163,ginda,30.6945,78.4932,277.07,21,20,3.69,IN,1675818301
164,cidreira,-30.1811,-50.2056,297.46,79,26,5.84,BR,1675818305
165,san quintin,30.4833,-115.95,289.23,48,0,2.82,MX,1675818313
